Dátum/Idő;+A;-A
2025.05.19. 15:00;0;1.06
2025.05.19. 15:15;0;0.927
2025.05.19. 15:30;0;0.856
2025.05.19. 15:45;0;0.999
2025.05.19. 16:00;0;0.746
2025.05.19. 16:15;0;0.747
2025.05.19. 16:30;0;0.853
2025.05.19. 16:45;0;0.875
2025.05.19. 17:00;0;0.506
2025.05.19. 17:15;0;0.415
2025.05.19. 17:30;0;0.408
2025.05.19. 17:45;0.001;0.267
2025.05.19. 18:00;0;0.305
2025.05.19. 18:15;0;0.304
2025.05.19. 18:30;0.009;0.196
2025.05.19. 18:45;0.027;0.129
2025.05.19. 19:00;0.025;0.179
2025.05.19. 19:15;0;0.562
2025.05.19. 19:30;0;0.325
2025.05.19. 19:45;0.051;0.058
2025.05.19. 20:00;0.09;0.012
2025.05.19. 20:15;0.098;0.001
2025.05.19. 20:30;0.105;0
2025.05.19. 20:45;0.095;0
2025.05.19. 21:00;0.1;0
2025.05.19. 21:15;0.125;0
2025.05.19. 21:30;0.104;0
2025.05.19. 21:45;0.128;0
2025.05.19. 22:00;0.09;0
2025.05.19. 22:15;0.081;0
2025.05.19. 22:30;0.08;0
2025.05.19. 22:45;0.081;0
2025.05.19. 23:00;0.089;0
2025.05.19. 23:15;0.064;0
2025.05.19. 23:30;0.051;0
2025.05.19. 23:45;0.055;0
2025.05.20. 00:00;0.076;0
2025.05.20. 00:15;0.052;0
2025.05.20. 00:30;0.064;0
2025.05.20. 00:45;0.06;0
2025.05.20. 01:00;0.058;0
2025.05.20. 01:15;0.089;0
2025.05.20. 01:30;0.091;0
2025.05.20. 01:45;0.101;0
2025.05.20. 02:00;0.108;0
2025.05.20. 02:15;0.114;0
2025.05.20. 02:30;0.095;0
2025.05.20. 02:45;0.086;0
2025.05.20. 03:00;0.087;0
2025.05.20. 03:15;0.084;0
2025.05.20. 03:30;0.069;0
2025.05.20. 03:45;0.056;0
2025.05.20. 04:00;0.056;0
2025.05.20. 04:15;0.056;0
2025.05.20. 04:30;0.201;0
2025.05.20. 04:45;0.12;0
2025.05.20. 05:00;0.058;0
2025.05.20. 05:15;0.042;0
2025.05.20. 05:30;0.07;0.002
2025.05.20. 05:45;0.104;0.007
2025.05.20. 06:00;0.11;0.008
2025.05.20. 06:15;0.113;0.016
2025.05.20. 06:30;0.074;0.026
2025.05.20. 06:45;0.03;0.056
2025.05.20. 07:00;0.024;0.075
2025.05.20. 07:15;0.015;0.083
2025.05.20. 07:30;0.004;0.071
2025.05.20. 07:45;0;0.203
2025.05.20. 08:00;0;0.542
2025.05.20. 08:15;0;0.805
2025.05.20. 08:30;0;0.959
2025.05.20. 08:45;0;1.015
2025.05.20. 09:00;0;1.158
2025.05.20. 09:15;0;1.235
2025.05.20. 09:30;0;1.205
2025.05.20. 09:45;0;1.241
2025.05.20. 10:00;0;1.308
2025.05.20. 10:15;0;1.396
2025.05.20. 10:30;0;1.452
2025.05.20. 10:45;0;1.451
2025.05.20. 11:00;0;1.592
2025.05.20. 11:15;0;1.025
2025.05.20. 11:30;0;1.648
2025.05.20. 11:45;0;1.683
2025.05.20. 12:00;0;1.601
2025.05.20. 12:15;0;1.569
2025.05.20. 12:30;0;1.769
2025.05.20. 12:45;0;1.667
2025.05.20. 13:00;0;1.682
2025.05.20. 13:15;0;1.789
2025.05.20. 13:30;0;1.392
2025.05.20. 13:45;0;0.869
2025.05.20. 14:00;0;0.805
2025.05.20. 14:15;0;1.088
2025.05.20. 14:30;0;1.243
2025.05.20. 14:45;0;1.061
2025.05.20. 15:00;0;1.337
2025.05.20. 15:15;0;1.42
2025.05.20. 15:30;0.015;1.196
2025.05.20. 15:45;0.049;1.124
2025.05.20. 16:00;0;0.82
2025.05.20. 16:15;0;1.162
2025.05.20. 16:30;0;1.001
2025.05.20. 16:45;0.126;0.703
2025.05.20. 17:00;0.02;1.118
2025.05.20. 17:15;0;1.093
2025.05.20. 17:30;0;0.724
2025.05.20. 17:45;0;0.553
2025.05.20. 18:00;0;0.381
2025.05.20. 18:15;0;0.48
2025.05.20. 18:30;0;0.598
2025.05.20. 18:45;0.192;0.399
2025.05.20. 19:00;0.278;0.096
2025.05.20. 19:15;0.176;0.034
2025.05.20. 19:30;0.507;0.026
2025.05.20. 19:45;0.327;0.011
2025.05.20. 20:00;0.647;0
2025.05.20. 20:15;0.259;0
2025.05.20. 20:30;0.172;0
2025.05.20. 20:45;0.122;0
2025.05.20. 21:00;0.122;0
2025.05.20. 21:15;0.144;0
2025.05.20. 21:30;0.155;0
2025.05.20. 21:45;0.121;0
2025.05.20. 22:00;0.103;0
2025.05.20. 22:15;0.101;0
2025.05.20. 22:30;0.097;0
2025.05.20. 22:45;0.143;0
2025.05.20. 23:00;0.167;0
2025.05.20. 23:15;0.128;0
2025.05.20. 23:30;0.117;0
2025.05.20. 23:45;0.112;0
2025.05.21. 00:00;0.122;0
2025.05.21. 00:15;0.131;0
2025.05.21. 00:30;0.127;0
2025.05.21. 00:45;0.102;0
2025.05.21. 01:00;0.095;0
2025.05.21. 01:15;0.094;0
2025.05.21. 01:30;0.087;0
2025.05.21. 01:45;0.059;0
2025.05.21. 02:00;0.068;0
2025.05.21. 02:15;0.079;0
2025.05.21. 02:30;0.064;0
2025.05.21. 02:45;0.077;0
2025.05.21. 03:00;0.061;0
2025.05.21. 03:15;0.055;0
2025.05.21. 03:30;0.073;0
2025.05.21. 03:45;0.1;0
2025.05.21. 04:00;0.13;0
2025.05.21. 04:15;0.116;0
2025.05.21. 04:30;0.088;0
2025.05.21. 04:45;0.087;0
2025.05.21. 05:00;0.087;0
2025.05.21. 05:15;0.097;0
2025.05.21. 05:30;0.12;0
2025.05.21. 05:45;0.117;0
2025.05.21. 06:00;0.089;0.002
2025.05.21. 06:15;0.14;0.002
2025.05.21. 06:30;0.096;0.008
2025.05.21. 06:45;0.056;0.008
2025.05.21. 07:00;0.054;0.028
2025.05.21. 07:15;0.037;0.039
2025.05.21. 07:30;0.024;0.049
2025.05.21. 07:45;0;0.136
2025.05.21. 08:00;0;0.216
2025.05.21. 08:15;0;0.267
2025.05.21. 08:30;0;0.416
2025.05.21. 08:45;0;0.468
2025.05.21. 09:00;0;0.514
2025.05.21. 09:15;0;0.603
2025.05.21. 09:30;0;0.378
2025.05.21. 09:45;0.007;0.285
2025.05.21. 10:00;0.112;0.201
2025.05.21. 10:15;0.059;0.233
2025.05.21. 10:30;0.034;0.277
2025.05.21. 10:45;0.002;0.411
2025.05.21. 11:00;0;0.605
2025.05.21. 11:15;0;0.493
2025.05.21. 11:30;0;0.683
2025.05.21. 11:45;0;0.705
2025.05.21. 12:00;0;0.556
2025.05.21. 12:15;0;0.521
2025.05.21. 12:30;0.039;0.337
2025.05.21. 12:45;0.205;0.246
2025.05.21. 13:00;0.07;0.275
2025.05.21. 13:15;0.232;0.057
2025.05.21. 13:30;0.261;0.024
2025.05.21. 13:45;0.004;0.263
2025.05.21. 14:00;0;0.719
2025.05.21. 14:15;0;0.778
2025.05.21. 14:30;0;0.7
2025.05.21. 14:45;0;0.534
2025.05.21. 15:00;0;1.413
2025.05.21. 15:15;0;0.922
2025.05.21. 15:30;0;1.229
2025.05.21. 15:45;0;0.497
2025.05.21. 16:00;0;0.454
2025.05.21. 16:15;0;0.301
2025.05.21. 16:30;0.022;0.443
2025.05.21. 16:45;0.14;0.258
2025.05.21. 17:00;0.144;0.203
2025.05.21. 17:15;0.196;0.1
2025.05.21. 17:30;0.181;0.049
2025.05.21. 17:45;0.11;0.027
2025.05.21. 18:00;0.176;0.009
2025.05.21. 18:15;0.161;0.007
2025.05.21. 18:30;0.087;0.035
2025.05.21. 18:45;0.044;0.118
2025.05.21. 19:00;0.006;0.209
2025.05.21. 19:15;0.016;0.192
2025.05.21. 19:30;0.05;0.169
2025.05.21. 19:45;0.105;0.047
2025.05.21. 20:00;0.156;0.004
2025.05.21. 20:15;0.107;0
2025.05.21. 20:30;0.127;0
2025.05.21. 20:45;0.143;0
2025.05.21. 21:00;0.149;0
2025.05.21. 21:15;0.492;0
2025.05.21. 21:30;0.305;0
2025.05.21. 21:45;0.532;0
2025.05.21. 22:00;0.234;0
2025.05.21. 22:15;0.121;0
2025.05.21. 22:30;0.245;0
2025.05.21. 22:45;0.228;0
2025.05.21. 23:00;0.26;0
2025.05.21. 23:15;0.173;0
2025.05.21. 23:30;0.168;0
2025.05.21. 23:45;0.16;0
2025.05.22. 00:00;0.151;0
2025.05.22. 00:15;0.141;0
2025.05.22. 00:30;0.131;0
2025.05.22. 00:45;0.147;0
2025.05.22. 01:00;0.119;0
2025.05.22. 01:15;0.101;0
2025.05.22. 01:30;0.112;0
2025.05.22. 01:45;0.091;0
2025.05.22. 02:00;0.084;0
2025.05.22. 02:15;0.083;0
2025.05.22. 02:30;0.069;0
2025.05.22. 02:45;0.087;0
2025.05.22. 03:00;0.181;0
2025.05.22. 03:15;0.08;0
2025.05.22. 03:30;0.101;0
2025.05.22. 03:45;0.078;0
2025.05.22. 04:00;0.092;0
2025.05.22. 04:15;0.091;0
2025.05.22. 04:30;0.089;0
2025.05.22. 04:45;0.108;0
2025.05.22. 05:00;0.098;0
2025.05.22. 05:15;0.084;0
2025.05.22. 05:30;0.125;0
2025.05.22. 05:45;0.286;0
2025.05.22. 06:00;0.16;0.001
2025.05.22. 06:15;0.091;0
2025.05.22. 06:30;0.08;0
2025.05.22. 06:45;0.168;0.016
2025.05.22. 07:00;0;0.077
2025.05.22. 07:15;0.149;0.092
2025.05.22. 07:30;0.144;0.092
2025.05.22. 07:45;0.142;0.131
2025.05.22. 08:00;0.126;0.183
2025.05.22. 08:15;0.088;0.222
2025.05.22. 08:30;0.09;0.222
2025.05.22. 08:45;0.018;0.401
2025.05.22. 09:00;0.003;0.395
2025.05.22. 09:15;0.012;0.332
2025.05.22. 09:30;0;0.458
2025.05.22. 09:45;0.022;0.369
2025.05.22. 10:00;0.043;0.298
2025.05.22. 10:15;0;0.738
2025.05.22. 10:30;0.005;0.493
2025.05.22. 10:45;0.003;0.708
2025.05.22. 11:00;0;1.247
2025.05.22. 11:15;0;0.909
2025.05.22. 11:30;0;0.919
2025.05.22. 11:45;0;0.606
2025.05.22. 12:00;0;1.18
2025.05.22. 12:15;0;1.666
2025.05.22. 12:30;0;1.698
2025.05.22. 12:45;0;1.184
2025.05.22. 13:00;0;0.764
2025.05.22. 13:15;0;0.376
2025.05.22. 13:30;0;0.725
2025.05.22. 13:45;0;0.582
2025.05.22. 14:00;0;1.089
2025.05.22. 14:15;0;1.504
2025.05.22. 14:30;0;1.364
2025.05.22. 14:45;0;1.329
2025.05.22. 15:00;0;1.088
2025.05.22. 15:15;0;1.247
2025.05.22. 15:30;0;1.271
2025.05.22. 15:45;0;1.188
2025.05.22. 16:00;0;1.193
2025.05.22. 16:15;0;0.869
2025.05.22. 16:30;0.004;0.613
2025.05.22. 16:45;0.001;0.696
2025.05.22. 17:00;0;1.038
2025.05.22. 17:15;0;0.867
2025.05.22. 17:30;0;0.742
2025.05.22. 17:45;0;0.513
2025.05.22. 18:00;0;0.532
2025.05.22. 18:15;0.006;0.086
2025.05.22. 18:30;0.004;0.105
2025.05.22. 18:45;0.037;0.092
2025.05.22. 19:00;0.05;0.06
2025.05.22. 19:15;0.074;0.048
2025.05.22. 19:30;0.096;0.023
2025.05.22. 19:45;0.123;0.011
2025.05.22. 20:00;0.116;0.011
2025.05.22. 20:15;0.127;0
2025.05.22. 20:30;0.162;0
2025.05.22. 20:45;0.179;0
2025.05.22. 21:00;0.157;0
2025.05.22. 21:15;0.181;0
2025.05.22. 21:30;0.199;0
2025.05.22. 21:45;0.168;0
2025.05.22. 22:00;0.177;0
2025.05.22. 22:15;0.157;0
2025.05.22. 22:30;0.154;0
2025.05.22. 22:45;0.123;0
2025.05.22. 23:00;0.14;0
2025.05.22. 23:15;0.152;0
2025.05.22. 23:30;0.138;0
2025.05.22. 23:45;0.113;0
2025.05.23. 00:00;0.115;0
2025.05.23. 00:15;0.114;0
2025.05.23. 00:30;0.084;0
2025.05.23. 00:45;0.099;0
2025.05.23. 01:00;0.114;0
2025.05.23. 01:15;0.103;0
2025.05.23. 01:30;0.092;0
2025.05.23. 01:45;0.091;0
2025.05.23. 02:00;0.091;0
2025.05.23. 02:15;0.119;0
2025.05.23. 02:30;0.114;0
2025.05.23. 02:45;0.112;0
2025.05.23. 03:00;0.126;0
2025.05.23. 03:15;0.109;0
2025.05.23. 03:30;0.104;0
2025.05.23. 03:45;0.123;0
2025.05.23. 04:00;0.109;0
2025.05.23. 04:15;0.058;0
2025.05.23. 04:30;0.056;0
2025.05.23. 04:45;0.055;0
2025.05.23. 05:00;0.083;0
2025.05.23. 05:15;0.078;0
2025.05.23. 05:30;0.046;0
2025.05.23. 05:45;0.035;0.001
2025.05.23. 06:00;0.075;0.005
2025.05.23. 06:15;0.087;0.01
2025.05.23. 06:30;0.063;0.017
2025.05.23. 06:45;0.111;0.031
2025.05.23. 07:00;0.053;0.014
2025.05.23. 07:15;0.019;0.052
2025.05.23. 07:30;0.001;0.173
2025.05.23. 07:45;0;0.274
2025.05.23. 08:00;0;0.282
2025.05.23. 08:15;0;0.347
2025.05.23. 08:30;0;0.365
2025.05.23. 08:45;0;0.349
2025.05.23. 09:00;0.018;0.302
2025.05.23. 09:15;0.086;0.39
2025.05.23. 09:30;0;0.382
2025.05.23. 09:45;0;0.511
2025.05.23. 10:00;0;0.588
2025.05.23. 10:15;0;0.608
2025.05.23. 10:30;0;0.361
2025.05.23. 10:45;0;0.272
2025.05.23. 11:00;0;0.306
2025.05.23. 11:15;0;0.293
2025.05.23. 11:30;0;0.184
2025.05.23. 11:45;0;0.217
2025.05.23. 12:00;0.01;0.337
2025.05.23. 12:15;0;0.518
2025.05.23. 12:30;0.007;0.279
2025.05.23. 12:45;0;0.502
2025.05.23. 13:00;0;0.532
2025.05.23. 13:15;0;0.793
2025.05.23. 13:30;0;0.688
2025.05.23. 13:45;0;0.499
2025.05.23. 14:00;0;0.64
2025.05.23. 14:15;0;0.506
2025.05.23. 14:30;0;0.323
2025.05.23. 14:45;0;0.277
2025.05.23. 15:00;0;0.191
2025.05.23. 15:15;0.005;0.107
2025.05.23. 15:30;0.009;0.085
2025.05.23. 15:45;0.003;0.165
2025.05.23. 16:00;0;0.136
2025.05.23. 16:15;0;0.157
2025.05.23. 16:30;0.019;0.121
2025.05.23. 16:45;0.12;0.051
2025.05.23. 17:00;0.295;0.025
2025.05.23. 17:15;0.278;0.03
2025.05.23. 17:30;0.247;0.043
2025.05.23. 17:45;0.291;0.025
2025.05.23. 18:00;0.297;0.022
2025.05.23. 18:15;0.279;0.026
2025.05.23. 18:30;0.284;0.017
2025.05.23. 18:45;0.283;0.018
2025.05.23. 19:00;0.316;0.01
2025.05.23. 19:15;0.346;0.003
2025.05.23. 19:30;0.318;0.001
2025.05.23. 19:45;0.436;0
2025.05.23. 20:00;0.336;0
2025.05.23. 20:15;0.327;0
2025.05.23. 20:30;0.147;0
2025.05.23. 20:45;0.099;0
2025.05.23. 21:00;0.082;0
2025.05.23. 21:15;0.085;0
2025.05.23. 21:30;0.122;0
2025.05.23. 21:45;0.131;0
2025.05.23. 22:00;0.142;0
2025.05.23. 22:15;0.132;0
2025.05.23. 22:30;0.146;0
2025.05.23. 22:45;0.134;0
2025.05.23. 23:00;0.126;0
2025.05.23. 23:15;0.143;0
2025.05.23. 23:30;0.134;0
2025.05.23. 23:45;0.147;0
2025.05.24. 00:00;0.165;0
2025.05.24. 00:15;0.175;0
2025.05.24. 00:30;0.178;0
2025.05.24. 00:45;0.15;0
2025.05.24. 01:00;0.074;0
2025.05.24. 01:15;0.087;0
2025.05.24. 01:30;0.083;0
2025.05.24. 01:45;0.073;0
2025.05.24. 02:00;0.08;0
2025.05.24. 02:15;0.094;0
2025.05.24. 02:30;0.089;0
2025.05.24. 02:45;0.09;0
2025.05.24. 03:00;0.092;0
2025.05.24. 03:15;0.102;0
2025.05.24. 03:30;0.087;0
2025.05.24. 03:45;0.072;0
2025.05.24. 04:00;0.074;0
2025.05.24. 04:15;0.073;0
2025.05.24. 04:30;0.085;0
2025.05.24. 04:45;0.105;0
2025.05.24. 05:00;0.064;0
2025.05.24. 05:15;0.058;0
2025.05.24. 05:30;0.044;0.004
2025.05.24. 05:45;0.033;0.01
2025.05.24. 06:00;0.046;0.022
2025.05.24. 06:15;0.035;0.031
2025.05.24. 06:30;0.021;0.041
2025.05.24. 06:45;0.048;0.053
2025.05.24. 07:00;0.039;0.061
2025.05.24. 07:15;0.037;0.071
2025.05.24. 07:30;0.048;0.08
2025.05.24. 07:45;0.112;0.355
2025.05.24. 08:00;0;0.51
2025.05.24. 08:15;0;0.622
2025.05.24. 08:30;0;0.941
2025.05.24. 08:45;0;1.013
2025.05.24. 09:00;0.096;0.966
2025.05.24. 09:15;0.001;1.162
2025.05.24. 09:30;0.007;1.034
2025.05.24. 09:45;0.009;1.072
2025.05.24. 10:00;0;1.241
2025.05.24. 10:15;0.018;1.068
2025.05.24. 10:30;0.118;0.838
2025.05.24. 10:45;0.013;1.139
2025.05.24. 11:00;0.232;0.808
2025.05.24. 11:15;0.324;0.871
2025.05.24. 11:30;0.221;0.919
2025.05.24. 11:45;0.183;0.643
2025.05.24. 12:00;0.051;0.954
2025.05.24. 12:15;0.036;0.99
2025.05.24. 12:30;0.007;1.275
2025.05.24. 12:45;0;0.895
2025.05.24. 13:00;0.002;0.904
2025.05.24. 13:15;0.001;1.291
2025.05.24. 13:30;0.185;0.726
2025.05.24. 13:45;0.031;1.524
2025.05.24. 14:00;0;1.46
2025.05.24. 14:15;0;1.653
2025.05.24. 14:30;0;1.206
2025.05.24. 14:45;0;1.244
2025.05.24. 15:00;0;1.624
2025.05.24. 15:15;0;1.632
2025.05.24. 15:30;0;1.45
2025.05.24. 15:45;0;1.228
2025.05.24. 16:00;0;1.312
2025.05.24. 16:15;0;1.067
2025.05.24. 16:30;0;0.958
2025.05.24. 16:45;0;1.289
2025.05.24. 17:00;0;1.287
2025.05.24. 17:15;0;0.519
2025.05.24. 17:30;0;0.411
2025.05.24. 17:45;0;0.537
2025.05.24. 18:00;0;0.811
2025.05.24. 18:15;0.004;0.485
2025.05.24. 18:30;0.039;0.134
2025.05.24. 18:45;0.015;0.184
2025.05.24. 19:00;0;0.279
2025.05.24. 19:15;0.004;0.435
2025.05.24. 19:30;0.047;0.029
2025.05.24. 19:45;0.058;0.017
2025.05.24. 20:00;0.102;0.007
2025.05.24. 20:15;0.132;0.001
2025.05.24. 20:30;0.149;0
2025.05.24. 20:45;0.173;0
2025.05.24. 21:00;0.187;0
2025.05.24. 21:15;0.448;0
2025.05.24. 21:30;0.194;0
2025.05.24. 21:45;0.179;0
2025.05.24. 22:00;0.295;0
2025.05.24. 22:15;0.586;0
2025.05.24. 22:30;0.113;0
2025.05.24. 22:45;0.131;0
2025.05.24. 23:00;0.117;0
2025.05.24. 23:15;0.116;0
2025.05.24. 23:30;0.138;0
2025.05.24. 23:45;0.128;0
2025.05.25. 00:00;0.108;0
2025.05.25. 00:15;0.113;0
2025.05.25. 00:30;0.184;0
2025.05.25. 00:45;0.162;0
2025.05.25. 01:00;0.161;0
2025.05.25. 01:15;0.155;0
2025.05.25. 01:30;0.11;0
2025.05.25. 01:45;0.106;0
2025.05.25. 02:00;0.118;0
2025.05.25. 02:15;0.087;0
2025.05.25. 02:30;0.084;0
2025.05.25. 02:45;0.091;0
2025.05.25. 03:00;0.061;0
2025.05.25. 03:15;0.042;0
2025.05.25. 03:30;0.058;0
2025.05.25. 03:45;0.062;0
2025.05.25. 04:00;0.044;0
2025.05.25. 04:15;0.059;0
2025.05.25. 04:30;0.06;0
2025.05.25. 04:45;0.045;0
2025.05.25. 05:00;0.096;0
2025.05.25. 05:15;0.099;0.001
2025.05.25. 05:30;0.07;0.003
2025.05.25. 05:45;0.068;0.009
2025.05.25. 06:00;0.088;0.014
2025.05.25. 06:15;0.06;0.027
2025.05.25. 06:30;0.045;0.039
2025.05.25. 06:45;0.049;0.048
2025.05.25. 07:00;0.021;0.057
2025.05.25. 07:15;0;0.068
2025.05.25. 07:30;0.003;0.079
2025.05.25. 07:45;0.005;0.245
2025.05.25. 08:00;0;0.55
2025.05.25. 08:15;0.022;0.619
2025.05.25. 08:30;0;0.935
2025.05.25. 08:45;0;1.022
2025.05.25. 09:00;0;1.194
2025.05.25. 09:15;0.015;1.169
2025.05.25. 09:30;0.056;0.978
2025.05.25. 09:45;0.044;1.031
2025.05.25. 10:00;0.166;0.801
2025.05.25. 10:15;0.077;1.074
2025.05.25. 10:30;0.057;1.127
2025.05.25. 10:45;0.107;1.023
2025.05.25. 11:00;0.035;1.254
2025.05.25. 11:15;0.19;1.053
2025.05.25. 11:30;0.351;0.577
2025.05.25. 11:45;0.264;0.913
2025.05.25. 12:00;0.139;1.04
2025.05.25. 12:15;0;1.535
2025.05.25. 12:30;0;1.686
2025.05.25. 12:45;0;1.424
2025.05.25. 13:00;0;1.676
2025.05.25. 13:15;0;1.755
2025.05.25. 13:30;0.063;1.51
2025.05.25. 13:45;0.101;0.908
2025.05.25. 14:00;0.124;0.487
2025.05.25. 14:15;0.154;0.844
2025.05.25. 14:30;0.067;1.319
2025.05.25. 14:45;0.005;1.027
2025.05.25. 15:00;0.139;0.783
2025.05.25. 15:15;0.119;0.585
2025.05.25. 15:30;0.02;0.711
2025.05.25. 15:45;0;1.263
2025.05.25. 16:00;0.011;0.37
2025.05.25. 16:15;0.001;1.117
2025.05.25. 16:30;0.032;0.52
2025.05.25. 16:45;0.022;0.682
2025.05.25. 17:00;0.017;0.628
2025.05.25. 17:15;0.06;0.286
2025.05.25. 17:30;0.048;0.604
2025.05.25. 17:45;0.092;0.13
2025.05.25. 18:00;0.041;0.398
2025.05.25. 18:15;0.004;0.859
