Dátum/Idő;+A;-A
2025.05.25. 18:30;0.01;0.685
2025.05.25. 18:45;0.003;0.737
2025.05.25. 19:00;0.037;0.358
2025.05.25. 19:15;0.029;0.298
2025.05.25. 19:30;0;0.367
2025.05.25. 19:45;0.053;0.087
2025.05.25. 20:00;0.16;0.01
2025.05.25. 20:15;0.184;0.002
2025.05.25. 20:30;0.159;0
2025.05.25. 20:45;0.132;0
2025.05.25. 21:00;0.132;0
2025.05.25. 21:15;0.122;0
2025.05.25. 21:30;0.135;0
2025.05.25. 21:45;0.141;0
2025.05.25. 22:00;0.149;0
2025.05.25. 22:15;0.115;0
2025.05.25. 22:30;0.106;0
2025.05.25. 22:45;0.114;0
2025.05.25. 23:00;0.102;0
2025.05.25. 23:15;0.08;0
2025.05.25. 23:30;0.067;0
2025.05.25. 23:45;0.068;0
2025.05.26. 00:00;0.085;0
2025.05.26. 00:15;0.093;0
2025.05.26. 00:30;0.05;0
2025.05.26. 00:45;0.042;0
2025.05.26. 01:00;0.042;0
2025.05.26. 01:15;0.068;0
2025.05.26. 01:30;0.111;0
2025.05.26. 01:45;0.101;0
2025.05.26. 02:00;0.075;0
2025.05.26. 02:15;0.074;0
2025.05.26. 02:30;0.073;0
2025.05.26. 02:45;0.119;0
2025.05.26. 03:00;0.106;0
2025.05.26. 03:15;0.09;0
2025.05.26. 03:30;0.086;0
2025.05.26. 03:45;0.072;0
2025.05.26. 04:00;0.075;0
2025.05.26. 04:15;0.067;0
2025.05.26. 04:30;0.052;0
2025.05.26. 04:45;0.044;0
2025.05.26. 05:00;0.065;0
2025.05.26. 05:15;0.075;0.002
2025.05.26. 05:30;0.019;0.03
2025.05.26. 05:45;0.016;0.054
2025.05.26. 06:00;0.141;0.058
2025.05.26. 06:15;0.071;0.05
2025.05.26. 06:30;0.059;0.056
2025.05.26. 06:45;0.172;0.053
2025.05.26. 07:00;0.002;0.184
2025.05.26. 07:15;0;0.269
2025.05.26. 07:30;0;0.258
2025.05.26. 07:45;0;0.258
2025.05.26. 08:00;0;0.44
2025.05.26. 08:15;0;0.602
2025.05.26. 08:30;0;0.395
2025.05.26. 08:45;0;0.47
2025.05.26. 09:00;0;0.618
2025.05.26. 09:15;0;0.489
2025.05.26. 09:30;0;0.491
2025.05.26. 09:45;0;0.276
2025.05.26. 10:00;0;0.29
2025.05.26. 10:15;0.001;0.153
2025.05.26. 10:30;0;0.251
2025.05.26. 10:45;0;0.262
2025.05.26. 11:00;0;0.329
2025.05.26. 11:15;0;0.404
2025.05.26. 11:30;0;0.846
2025.05.26. 11:45;0;1.064
2025.05.26. 12:00;0;1.288
2025.05.26. 12:15;0;1.414
2025.05.26. 12:30;0;0.892
2025.05.26. 12:45;0;1.318
2025.05.26. 13:00;0;1.094
2025.05.26. 13:15;0;1.382
2025.05.26. 13:30;0;0.826
2025.05.26. 13:45;0;1.312
2025.05.26. 14:00;0;1.376
2025.05.26. 14:15;0;1.303
2025.05.26. 14:30;0;1.212
2025.05.26. 14:45;0;1.042
2025.05.26. 15:00;0;1.307
2025.05.26. 15:15;0;0.523
2025.05.26. 15:30;0;0.43
2025.05.26. 15:45;0;0.469
2025.05.26. 16:00;0;0.808
2025.05.26. 16:15;0;1.021
2025.05.26. 16:30;0;1.167
2025.05.26. 16:45;0;0.959
2025.05.26. 17:00;0;0.984
2025.05.26. 17:15;0.003;0.928
2025.05.26. 17:30;0.001;1.001
2025.05.26. 17:45;0.006;0.324
2025.05.26. 18:00;0.003;0.364
2025.05.26. 18:15;0;0.112
2025.05.26. 18:30;0.016;0.057
2025.05.26. 18:45;0.005;0.238
2025.05.26. 19:00;0.058;0.243
2025.05.26. 19:15;0.01;0.232
2025.05.26. 19:30;0.006;0.295
2025.05.26. 19:45;0.036;0.091
2025.05.26. 20:00;0.261;0.015
2025.05.26. 20:15;0.329;0.002
2025.05.26. 20:30;0.346;0
2025.05.26. 20:45;0.31;0
2025.05.26. 21:00;0.324;0
2025.05.26. 21:15;0.365;0
2025.05.26. 21:30;0.333;0
2025.05.26. 21:45;0.296;0
2025.05.26. 22:00;0.297;0
2025.05.26. 22:15;0.298;0
2025.05.26. 22:30;0.291;0
2025.05.26. 22:45;0.288;0
2025.05.26. 23:00;0.278;0
2025.05.26. 23:15;0.296;0
2025.05.26. 23:30;0.205;0
2025.05.26. 23:45;0.052;0
2025.05.27. 00:00;0.067;0
2025.05.27. 00:15;0.063;0
2025.05.27. 00:30;0.045;0
2025.05.27. 00:45;0.093;0
2025.05.27. 01:00;0.093;0
2025.05.27. 01:15;0.102;0
2025.05.27. 01:30;0.11;0
2025.05.27. 01:45;0.089;0
2025.05.27. 02:00;0.073;0
2025.05.27. 02:15;0.074;0
2025.05.27. 02:30;0.087;0
2025.05.27. 02:45;0.088;0
2025.05.27. 03:00;0.102;0
2025.05.27. 03:15;0.055;0
2025.05.27. 03:30;0.068;0
2025.05.27. 03:45;0.055;0
2025.05.27. 04:00;0.041;0
2025.05.27. 04:15;0.055;0
2025.05.27. 04:30;0.079;0
2025.05.27. 04:45;0.063;0
2025.05.27. 05:00;0.042;0
2025.05.27. 05:15;0.037;0
2025.05.27. 05:30;0.057;0.007
2025.05.27. 05:45;0.074;0.011
2025.05.27. 06:00;0.081;0.018
2025.05.27. 06:15;0.065;0.031
2025.05.27. 06:30;0.098;0.038
2025.05.27. 06:45;0.039;0.044
2025.05.27. 07:00;0.04;0.056
2025.05.27. 07:15;0.041;0.067
2025.05.27. 07:30;0.048;0.078
2025.05.27. 07:45;0.019;0.242
2025.05.27. 08:00;0;0.547
2025.05.27. 08:15;0;0.806
2025.05.27. 08:30;0;0.948
2025.05.27. 08:45;0;1.034
2025.05.27. 09:00;0;1.178
2025.05.27. 09:15;0;1.251
2025.05.27. 09:30;0.001;1.237
2025.05.27. 09:45;0;1.274
2025.05.27. 10:00;0;1.321
2025.05.27. 10:15;0;1.38
2025.05.27. 10:30;0;1.468
2025.05.27. 10:45;0;1.548
2025.05.27. 11:00;0;1.614
2025.05.27. 11:15;0;1.648
2025.05.27. 11:30;0;1.663
2025.05.27. 11:45;0;1.673
2025.05.27. 12:00;0;1.742
2025.05.27. 12:15;0;1.771
2025.05.27. 12:30;0;1.804
2025.05.27. 12:45;0;1.559
2025.05.27. 13:00;0;1.418
2025.05.27. 13:15;0;1.059
2025.05.27. 13:30;0;1.621
2025.05.27. 13:45;0;1.308
2025.05.27. 14:00;0;1.718
2025.05.27. 14:15;0;1.723
2025.05.27. 14:30;0;1.648
2025.05.27. 14:45;0;1.618
2025.05.27. 15:00;0;1.573
2025.05.27. 15:15;0;1.537
2025.05.27. 15:30;0;0.982
2025.05.27. 15:45;0;1.445
2025.05.27. 16:00;0;1.344
2025.05.27. 16:15;0;1.147
2025.05.27. 16:30;0;1.083
2025.05.27. 16:45;0;1.193
2025.05.27. 17:00;0;1.128
2025.05.27. 17:15;0;1.118
2025.05.27. 17:30;0;1.004
2025.05.27. 17:45;0;1.014
2025.05.27. 18:00;0;1.012
2025.05.27. 18:15;0;0.922
2025.05.27. 18:30;0.377;0.658
2025.05.27. 18:45;0.274;0.535
2025.05.27. 19:00;0.31;0.457
2025.05.27. 19:15;0.132;0.451
2025.05.27. 19:30;0.002;0.354
2025.05.27. 19:45;0.049;0.054
2025.05.27. 20:00;0.093;0.011
2025.05.27. 20:15;0.136;0
2025.05.27. 20:30;0.164;0
2025.05.27. 20:45;0.166;0
2025.05.27. 21:00;0.143;0
2025.05.27. 21:15;0.135;0
2025.05.27. 21:30;0.133;0
2025.05.27. 21:45;0.134;0
2025.05.27. 22:00;0.129;0
2025.05.27. 22:15;0.145;0
2025.05.27. 22:30;0.25;0
2025.05.27. 22:45;0.277;0
2025.05.27. 23:00;0.273;0
2025.05.27. 23:15;0.286;0
2025.05.27. 23:30;0.272;0
2025.05.27. 23:45;0.27;0
2025.05.28. 00:00;0.291;0
2025.05.28. 00:15;0.303;0
2025.05.28. 00:30;0.273;0
2025.05.28. 00:45;0.314;0
2025.05.28. 01:00;0.283;0
2025.05.28. 01:15;0.278;0
2025.05.28. 01:30;0.288;0
2025.05.28. 01:45;0.3;0
2025.05.28. 02:00;0.216;0
2025.05.28. 02:15;0.112;0
2025.05.28. 02:30;0.074;0
2025.05.28. 02:45;0.072;0
2025.05.28. 03:00;0.071;0
2025.05.28. 03:15;0.055;0
2025.05.28. 03:30;0.08;0
2025.05.28. 03:45;0.068;0
2025.05.28. 04:00;0.05;0
2025.05.28. 04:15;0.066;0
2025.05.28. 04:30;0.048;0
2025.05.28. 04:45;0.046;0
2025.05.28. 05:00;0.065;0
2025.05.28. 05:15;0.056;0
2025.05.28. 05:30;0.061;0.006
2025.05.28. 05:45;0.057;0.014
2025.05.28. 06:00;0.04;0.028
2025.05.28. 06:15;0.04;0.035
2025.05.28. 06:30;0.038;0.045
2025.05.28. 06:45;0.023;0.064
2025.05.28. 07:00;0.031;0.068
2025.05.28. 07:15;0.027;0.082
2025.05.28. 07:30;0.069;0.094
2025.05.28. 07:45;0.013;0.263
2025.05.28. 08:00;0;0.479
2025.05.28. 08:15;0.011;0.496
2025.05.28. 08:30;0.044;0.489
2025.05.28. 08:45;0;0.809
2025.05.28. 09:00;0;0.872
2025.05.28. 09:15;0;0.893
2025.05.28. 09:30;0;1.033
2025.05.28. 09:45;0;1.11
2025.05.28. 10:00;0;1.123
2025.05.28. 10:15;0;1.188
2025.05.28. 10:30;0;1.223
2025.05.28. 10:45;0;1.277
2025.05.28. 11:00;0.013;1.18
2025.05.28. 11:15;0.003;1.25
2025.05.28. 11:30;0;0.764
2025.05.28. 11:45;0;1.45
2025.05.28. 12:00;0;1.122
2025.05.28. 12:15;0;0.781
2025.05.28. 12:30;0;1.328
2025.05.28. 12:45;0;1.294
2025.05.28. 13:00;0;1.343
2025.05.28. 13:15;0;1.435
2025.05.28. 13:30;0;1.72
2025.05.28. 13:45;0;1.062
2025.05.28. 14:00;0;1.273
2025.05.28. 14:15;0;0.84
2025.05.28. 14:30;0;1.253
2025.05.28. 14:45;0;1.186
2025.05.28. 15:00;0;0.501
2025.05.28. 15:15;0;0.983
2025.05.28. 15:30;0;0.661
2025.05.28. 15:45;0;0.888
2025.05.28. 16:00;0;1.034
2025.05.28. 16:15;0;1.017
2025.05.28. 16:30;0;0.824
2025.05.28. 16:45;0;0.565
2025.05.28. 17:00;0;0.569
2025.05.28. 17:15;0;0.451
2025.05.28. 17:30;0;0.399
2025.05.28. 17:45;0;0.202
2025.05.28. 18:00;0.005;0.112
2025.05.28. 18:15;0;0.344
2025.05.28. 18:30;0;0.257
2025.05.28. 18:45;0.001;0.185
2025.05.28. 19:00;0.023;0.084
2025.05.28. 19:15;0.081;0.016
2025.05.28. 19:30;0.105;0.006
2025.05.28. 19:45;0.105;0.002
2025.05.28. 20:00;0.113;0.001
2025.05.28. 20:15;0.094;0
2025.05.28. 20:30;0.094;0
2025.05.28. 20:45;0.149;0
2025.05.28. 21:00;0.159;0
2025.05.28. 21:15;0.16;0
2025.05.28. 21:30;0.162;0
2025.05.28. 21:45;0.136;0
2025.05.28. 22:00;0.122;0
2025.05.28. 22:15;0.147;0
2025.05.28. 22:30;0.134;0
2025.05.28. 22:45;0.142;0
2025.05.28. 23:00;0.129;0
2025.05.28. 23:15;0.107;0
2025.05.28. 23:30;0.1;0
2025.05.28. 23:45;0.06;0
2025.05.29. 00:00;0.061;0
2025.05.29. 00:15;0.097;0
2025.05.29. 00:30;0.082;0
2025.05.29. 00:45;0.064;0
2025.05.29. 01:00;0.063;0
2025.05.29. 01:15;0.054;0
2025.05.29. 01:30;0.042;0
2025.05.29. 01:45;0.072;0
2025.05.29. 02:00;0.109;0
2025.05.29. 02:15;0.081;0
2025.05.29. 02:30;0.085;0
2025.05.29. 02:45;0.086;0
2025.05.29. 03:00;0.085;0
2025.05.29. 03:15;0.091;0
2025.05.29. 03:30;0.091;0
2025.05.29. 03:45;0.094;0
2025.05.29. 04:00;0.074;0
2025.05.29. 04:15;0.079;0
2025.05.29. 04:30;0.088;0
2025.05.29. 04:45;0.105;0
2025.05.29. 05:00;0.06;0
2025.05.29. 05:15;0.055;0
2025.05.29. 05:30;0.054;0.005
2025.05.29. 05:45;0.022;0.016
2025.05.29. 06:00;0.013;0.039
2025.05.29. 06:15;0.04;0.032
2025.05.29. 06:30;0.032;0.026
2025.05.29. 06:45;0.001;0.036
2025.05.29. 07:00;0.035;0.046
2025.05.29. 07:15;0.031;0.033
2025.05.29. 07:30;0.047;0.039
2025.05.29. 07:45;0.134;0.085
2025.05.29. 08:00;0.046;0.379
2025.05.29. 08:15;0.038;0.593
2025.05.29. 08:30;0.008;0.707
2025.05.29. 08:45;0;0.86
2025.05.29. 09:00;0.013;0.806
2025.05.29. 09:15;0.004;1.023
2025.05.29. 09:30;0.008;0.961
2025.05.29. 09:45;0.006;1.152
2025.05.29. 10:00;0.018;0.988
2025.05.29. 10:15;0.007;1.103
2025.05.29. 10:30;0.025;0.545
2025.05.29. 10:45;0.004;1.072
2025.05.29. 11:00;0.011;0.95
2025.05.29. 11:15;0.006;1.304
2025.05.29. 11:30;0;1.48
2025.05.29. 11:45;0;1.065
2025.05.29. 12:00;0;1.473
2025.05.29. 12:15;0;1.467
2025.05.29. 12:30;0;1.157
2025.05.29. 12:45;0;1.272
2025.05.29. 13:00;0;1.395
2025.05.29. 13:15;0;0.534
2025.05.29. 13:30;0;0.855
2025.05.29. 13:45;0;0.858
2025.05.29. 14:00;0;1.075
2025.05.29. 14:15;0;0.674
2025.05.29. 14:30;0;0.776
2025.05.29. 14:45;0;1.157
2025.05.29. 15:00;0.001;0.349
2025.05.29. 15:15;0;1.129
2025.05.29. 15:30;0;1.374
2025.05.29. 15:45;0;1.239
2025.05.29. 16:00;0;0.405
2025.05.29. 16:15;0;0.321
2025.05.29. 16:30;0;0.386
2025.05.29. 16:45;0;1.018
2025.05.29. 17:00;0;0.699
2025.05.29. 17:15;0.01;0.402
2025.05.29. 17:30;0.189;0.713
2025.05.29. 17:45;0.068;0.942
2025.05.29. 18:00;0.116;0.652
2025.05.29. 18:15;0.02;0.829
2025.05.29. 18:30;0;0.817
2025.05.29. 18:45;0.003;0.85
2025.05.29. 19:00;0;0.788
2025.05.29. 19:15;0;0.576
2025.05.29. 19:30;0.009;0.312
2025.05.29. 19:45;0.04;0.093
2025.05.29. 20:00;0.084;0.012
2025.05.29. 20:15;0.096;0.003
2025.05.29. 20:30;0.12;0
2025.05.29. 20:45;0.121;0
2025.05.29. 21:00;0.069;0
2025.05.29. 21:15;0.088;0
2025.05.29. 21:30;0.069;0
2025.05.29. 21:45;0.065;0
2025.05.29. 22:00;0.093;0
2025.05.29. 22:15;0.074;0
2025.05.29. 22:30;0.062;0
2025.05.29. 22:45;0.053;0
2025.05.29. 23:00;0.078;0
2025.05.29. 23:15;0.117;0
2025.05.29. 23:30;0.102;0
2025.05.29. 23:45;0.093;0
2025.05.30. 00:00;0.089;0
2025.05.30. 00:15;0.078;0
2025.05.30. 00:30;0.078;0
2025.05.30. 00:45;0.099;0
2025.05.30. 01:00;0.099;0
2025.05.30. 01:15;0.083;0
2025.05.30. 01:30;0.088;0
2025.05.30. 01:45;0.087;0
2025.05.30. 02:00;0.085;0
2025.05.30. 02:15;0.058;0
2025.05.30. 02:30;0.041;0
2025.05.30. 02:45;0.041;0
2025.05.30. 03:00;0.041;0
2025.05.30. 03:15;0.087;0
2025.05.30. 03:30;0.095;0
2025.05.30. 03:45;0.053;0
2025.05.30. 04:00;0.042;0
2025.05.30. 04:15;0.041;0
2025.05.30. 04:30;0.08;0
2025.05.30. 04:45;0.087;0
2025.05.30. 05:00;0.113;0
2025.05.30. 05:15;0.084;0
2025.05.30. 05:30;0.06;0.005
2025.05.30. 05:45;0.053;0.011
2025.05.30. 06:00;0.085;0.015
2025.05.30. 06:15;0.151;0.02
2025.05.30. 06:30;0.134;0.016
2025.05.30. 06:45;0.222;0.018
2025.05.30. 07:00;0.048;0.038
2025.05.30. 07:15;0.006;0.088
2025.05.30. 07:30;0.001;0.145
2025.05.30. 07:45;0;0.289
2025.05.30. 08:00;0;0.719
2025.05.30. 08:15;0;0.869
2025.05.30. 08:30;0;0.974
2025.05.30. 08:45;0;1.011
2025.05.30. 09:00;0;1.001
2025.05.30. 09:15;0;1.269
2025.05.30. 09:30;0;1.07
2025.05.30. 09:45;0;1.129
2025.05.30. 10:00;0;1.031
2025.05.30. 10:15;0;0.991
2025.05.30. 10:30;0;1.043
2025.05.30. 10:45;0;1.4
2025.05.30. 11:00;0;1.549
2025.05.30. 11:15;0;1.414
2025.05.30. 11:30;0;1.202
2025.05.30. 11:45;0;1.686
2025.05.30. 12:00;0;1.655
2025.05.30. 12:15;0;1.745
2025.05.30. 12:30;0;1.597
2025.05.30. 12:45;0;1.666
2025.05.30. 13:00;0;1.46
2025.05.30. 13:15;0;1.318
2025.05.30. 13:30;0;1.246
2025.05.30. 13:45;0;1.221
2025.05.30. 14:00;0;1.121
2025.05.30. 14:15;0;1.099
2025.05.30. 14:30;0;1.234
2025.05.30. 14:45;0;1.059
2025.05.30. 15:00;0;1.049
2025.05.30. 15:15;0;1.077
2025.05.30. 15:30;0;0.981
2025.05.30. 15:45;0;1.111
2025.05.30. 16:00;0;0.818
2025.05.30. 16:15;0;0.923
2025.05.30. 16:30;0;1.179
2025.05.30. 16:45;0;1.006
2025.05.30. 17:00;0;1.151
2025.05.30. 17:15;0;0.713
2025.05.30. 17:30;0;0.955
2025.05.30. 17:45;0;0.47
2025.05.30. 18:00;0;0.215
2025.05.30. 18:15;0;0.294
2025.05.30. 18:30;0;0.294
2025.05.30. 18:45;0;0.162
2025.05.30. 19:00;0;0.137
2025.05.30. 19:15;0;0.204
2025.05.30. 19:30;0;0.133
2025.05.30. 19:45;0.014;0.064
2025.05.30. 20:00;0.048;0.016
2025.05.30. 20:15;0.095;0.002
2025.05.30. 20:30;0.135;0
2025.05.30. 20:45;0.13;0
2025.05.30. 21:00;0.115;0
2025.05.30. 21:15;0.104;0
2025.05.30. 21:30;0.093;0
2025.05.30. 21:45;0.123;0
2025.05.30. 22:00;0.14;0
2025.05.30. 22:15;0.143;0
2025.05.30. 22:30;0.144;0
2025.05.30. 22:45;0.127;0
2025.05.30. 23:00;0.114;0
2025.05.30. 23:15;0.13;0
2025.05.30. 23:30;0.117;0
2025.05.30. 23:45;0.101;0
2025.05.31. 00:00;0.071;0
2025.05.31. 00:15;0.095;0
2025.05.31. 00:30;0.107;0
2025.05.31. 00:45;0.131;0
2025.05.31. 01:00;0.092;0
2025.05.31. 01:15;0.085;0
2025.05.31. 01:30;0.083;0
2025.05.31. 01:45;0.09;0
2025.05.31. 02:00;0.107;0
2025.05.31. 02:15;0.129;0
2025.05.31. 02:30;0.111;0
2025.05.31. 02:45;0.091;0
2025.05.31. 03:00;0.082;0
2025.05.31. 03:15;0.082;0
2025.05.31. 03:30;0.076;0
2025.05.31. 03:45;0.089;0
2025.05.31. 04:00;0.073;0
2025.05.31. 04:15;0.052;0
2025.05.31. 04:30;0.075;0
2025.05.31. 04:45;0.07;0
2025.05.31. 05:00;0.059;0
2025.05.31. 05:15;0.085;0
2025.05.31. 05:30;0.061;0.004
2025.05.31. 05:45;0.058;0.01
2025.05.31. 06:00;0.049;0.015
2025.05.31. 06:15;0.035;0.021
2025.05.31. 06:30;0.051;0.03
2025.05.31. 06:45;0.051;0.028
2025.05.31. 07:00;0.037;0.036
2025.05.31. 07:15;0.033;0.055
2025.05.31. 07:30;0.024;0.067
2025.05.31. 07:45;0.007;0.108
2025.05.31. 08:00;0;0.497
2025.05.31. 08:15;0.056;0.609
2025.05.31. 08:30;0;0.902
2025.05.31. 08:45;0;0.837
2025.05.31. 09:00;0.139;0.902
2025.05.31. 09:15;0.103;0.886
2025.05.31. 09:30;0.012;1.037
2025.05.31. 09:45;0.007;1.076
2025.05.31. 10:00;0.13;0.859
2025.05.31. 10:15;0.024;1.154
2025.05.31. 10:30;0;1.278
2025.05.31. 10:45;0.008;1.239
2025.05.31. 11:00;0;1.423
2025.05.31. 11:15;0;1.476
2025.05.31. 11:30;0;1.334
2025.05.31. 11:45;0;1.431
2025.05.31. 12:00;0.034;1.079
2025.05.31. 12:15;0;1.576
2025.05.31. 12:30;0.001;1.452
2025.05.31. 12:45;0;1.675
2025.05.31. 13:00;0;1.712
2025.05.31. 13:15;0;1.513
2025.05.31. 13:30;0;1.703
2025.05.31. 13:45;0;1.659
2025.05.31. 14:00;0;1.676
2025.05.31. 14:15;0;1.703
2025.05.31. 14:30;0.04;1.335
2025.05.31. 14:45;0.019;1.145
2025.05.31. 15:00;0.035;1.116
2025.05.31. 15:15;0;1.418
2025.05.31. 15:30;0;1.274
2025.05.31. 15:45;0;1.161
2025.05.31. 16:00;0.259;0.923
2025.05.31. 16:15;0.114;0.981
2025.05.31. 16:30;0.01;0.862
2025.05.31. 16:45;0;0.851
2025.05.31. 17:00;0;1.028
2025.05.31. 17:15;0.09;0.652
2025.05.31. 17:30;0.003;0.788
2025.05.31. 17:45;0.007;0.747
2025.05.31. 18:00;0;0.791
2025.05.31. 18:15;0;0.758
2025.05.31. 18:30;0;0.716
2025.05.31. 18:45;0;0.615
2025.05.31. 19:00;0.023;0.191
2025.05.31. 19:15;0;0.416
2025.05.31. 19:30;0;0.303
2025.05.31. 19:45;0.044;0.132
2025.05.31. 20:00;0.085;0.025
2025.05.31. 20:15;0.121;0.005
2025.05.31. 20:30;0.159;0
2025.05.31. 20:45;0.15;0
2025.05.31. 21:00;0.193;0
2025.05.31. 21:15;0.173;0
2025.05.31. 21:30;0.227;0
2025.05.31. 21:45;0.229;0
2025.05.31. 22:00;0.206;0
2025.05.31. 22:15;0.184;0
2025.05.31. 22:30;0.142;0
2025.05.31. 22:45;0.238;0
2025.05.31. 23:00;0.218;0
2025.05.31. 23:15;0.194;0
2025.05.31. 23:30;0.165;0
2025.05.31. 23:45;0.168;0
